Nome: SERRA DO NAVIO
Codigo Estacao: 82092
Latitude: 0.9
Longitude: -52.02
Altitude: 163
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1995-08-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;0;
1990-03-26;null;
1990-03-27;null;
1990-03-28;null;
1990-03-29;null;
1990-03-30;1;
1990-03-31;2.6;
1990-04-01;1.1;
1990-04-02;1.1;
1990-04-03;.2;
1990-04-04;.1;
1990-04-05;.2;
1990-04-06;1.7;
1990-04-07;2.6;
1990-04-08;.7;
1990-04-09;5.4;
1990-04-10;2.6;
1990-04-11;4.7;
1990-04-12;1;
1990-04-13;3;
1990-04-14;0;
1990-04-15;2.1;
1990-04-16;0;
1990-04-17;0;
1990-04-18;5.2;
1990-04-19;5.9;
1990-04-20;3.3;
1990-04-21;1.7;
1990-04-22;5;
1990-04-23;3.8;
1990-04-24;0;
1990-04-25;2.4;
1990-04-26;1.7;
1990-04-27;.2;
1990-04-28;.9;
1990-04-29;1.3;
1990-04-30;3.7;
1990-05-01;.5;
1990-05-02;0;
1990-05-03;5.4;
1990-05-04;4.9;
1990-05-05;4.5;
1990-05-06;2.6;
1990-05-07;5;
1990-05-08;2.2;
1990-05-09;2.9;
1990-05-10;1.7;
1990-05-11;.3;
1990-05-12;7.5;
1990-05-13;1.6;
1990-05-14;5.7;
1990-05-15;5.1;
1990-05-16;1.9;
1990-05-17;4.4;
1990-05-18;5.2;
1990-05-19;2.1;
1990-05-20;2.8;
1990-05-21;2.9;
1990-05-22;4.8;
1990-05-23;4.3;
1990-05-24;2.9;
1990-05-25;4.3;
1990-05-26;.5;
1990-05-27;3.8;
1990-05-28;1.1;
1990-05-29;2.1;
1990-05-30;1.6;
1990-05-31;1;
1990-06-01;null;
1990-06-02;null;
1990-06-03;null;
1990-06-04;null;
1990-06-05;null;
1990-06-06;null;
1990-06-07;null;
1990-06-08;null;
1990-06-09;null;
1990-06-10;null;
1990-06-11;null;
1990-06-12;null;
1990-06-13;null;
1990-06-14;null;
1990-06-15;null;
1990-06-16;null;
1990-06-17;null;
1990-06-18;null;
1990-06-19;null;
1990-06-20;null;
1990-06-21;null;
1990-06-22;null;
1990-06-23;null;
1990-06-24;null;
1990-06-25;null;
1990-06-26;null;
