Nome: PORTO PLATON
Codigo Estacao: 82095
Latitude: 0.7
Longitude: -51.45
Altitude: 83
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1993-01-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;0;
1990-03-26;0;
1990-03-27;0;
1990-03-28;1.2;
1990-03-29;3.1;
1990-03-30;.8;
1990-03-31;4.6;
1990-04-01;4.9;
1990-04-02;5.3;
1990-04-03;6.9;
1990-04-04;0;
1990-04-05;3.2;
1990-04-06;3.7;
1990-04-07;3.4;
1990-04-08;3.4;
1990-04-09;3.6;
1990-04-10;8.6;
1990-04-11;7;
1990-04-12;6.1;
1990-04-13;4.5;
1990-04-14;1.1;
1990-04-15;1.7;
1990-04-16;0;
1990-04-17;3.8;
1990-04-18;3.4;
1990-04-19;8.3;
1990-04-20;2.5;
1990-04-21;5.3;
1990-04-22;1.6;
1990-04-23;2.9;
1990-04-24;0;
1990-04-25;3;
1990-04-26;3;
1990-04-27;3.4;
1990-04-28;2.8;
1990-04-29;1.6;
1990-04-30;5.8;
1990-05-01;0;
1990-05-02;.9;
1990-05-03;7.8;
1990-05-04;6;
1990-05-05;5;
1990-05-06;7.5;
1990-05-07;3.6;
1990-05-08;3.8;
1990-05-09;2;
1990-05-10;2;
1990-05-11;0;
1990-05-12;6.3;
1990-05-13;5.6;
1990-05-14;9.5;
1990-05-15;7.4;
1990-05-16;7.6;
1990-05-17;7.2;
1990-05-18;5.3;
1990-05-19;3.7;
1990-05-20;8.4;
1990-05-21;3.7;
1990-05-22;6.3;
1990-05-23;8.6;
1990-05-24;7.6;
1990-05-25;6.2;
1990-05-26;3.5;
1990-05-27;4.5;
1990-05-28;3.1;
1990-05-29;5.7;
1990-05-30;2.1;
1990-05-31;4.1;
1990-06-01;4.4;
1990-06-02;3.3;
1990-06-03;2.8;
1990-06-04;3.7;
1990-06-05;8.5;
1990-06-06;6.9;
1990-06-07;1.8;
1990-06-08;7.1;
1990-06-09;1.7;
1990-06-10;4.6;
1990-06-11;2.2;
1990-06-12;4.1;
1990-06-13;1.2;
1990-06-14;4.4;
1990-06-15;4.4;
1990-06-16;5.8;
1990-06-17;8.5;
1990-06-18;8.4;
1990-06-19;9.6;
1990-06-20;5;
1990-06-21;9.6;
1990-06-22;8.5;
1990-06-23;9.4;
1990-06-24;4.5;
1990-06-25;7.8;
1990-06-26;4.7;
1990-06-27;9;
1990-06-28;7.7;
1990-06-29;2.2;
1990-06-30;4;
1990-07-01;4.4;
1990-07-02;1.3;
1990-07-03;2.2;
1990-07-04;9.4;
1990-07-05;8.5;
1990-07-06;8.9;
1990-07-07;5.7;
1990-07-08;8.7;
1990-07-09;7.2;
1990-07-10;10.7;
1990-07-11;8.6;
1990-07-12;8.3;
1990-07-13;8.7;
1990-07-14;10.4;
1990-07-15;9.9;
1990-07-16;9.1;
1990-07-17;10.1;
1990-07-18;5.1;
1990-07-19;6.2;
