Nome: SAO JOAO DE PETROPOLIS
Codigo Estacao: 83036
Latitude: -19.81
Longitude: -40.67
Altitude: 174
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1999-03-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;null;
1990-03-26;null;
1990-03-27;null;
1990-03-28;null;
1990-03-29;null;
1990-03-30;null;
1990-03-31;null;
1990-04-01;null;
1990-04-02;null;
1990-04-03;null;
1990-04-04;null;
1990-04-05;null;
1990-04-06;null;
1990-04-07;null;
1990-04-08;null;
1990-04-09;null;
1990-04-10;null;
1990-04-11;null;
1990-04-12;null;
1990-04-13;null;
1990-04-14;null;
1990-04-15;null;
1990-04-16;null;
1990-04-17;null;
1990-04-18;null;
1990-04-19;null;
1990-04-20;null;
1990-04-21;null;
1990-04-22;null;
1990-04-23;null;
1990-04-24;null;
1990-04-25;null;
1990-04-26;null;
1990-04-27;null;
1990-04-28;null;
1990-04-29;null;
1990-04-30;null;
1990-05-01;.3;
1990-05-02;1.6;
1990-05-03;2.9;
1990-05-04;5.5;
1990-05-05;4.5;
1990-05-06;.1;
1990-05-07;6.4;
1990-05-08;7.7;
1990-05-09;1.2;
1990-05-10;3;
1990-05-11;8.5;
1990-05-12;.7;
1990-05-13;4.3;
1990-05-14;6.9;
1990-05-15;7.7;
1990-05-16;9.1;
1990-05-17;9;
1990-05-18;8.1;
1990-05-19;9;
1990-05-20;9;
1990-05-21;8.8;
1990-05-22;6.8;
1990-05-23;3.7;
1990-05-24;8;
1990-05-25;4.4;
1990-05-26;8.4;
1990-05-27;8.3;
1990-05-28;8.2;
1990-05-29;5.6;
1990-05-30;6.7;
1990-05-31;5.3;
1990-06-01;5.7;
1990-06-02;2.4;
1990-06-03;7.6;
1990-06-04;7.1;
1990-06-05;2.2;
1990-06-06;5.3;
1990-06-07;7.4;
1990-06-08;5.7;
1990-06-09;7.2;
1990-06-10;7.9;
1990-06-11;4.6;
1990-06-12;3.3;
1990-06-13;1.8;
1990-06-14;7.9;
1990-06-15;5.7;
1990-06-16;4;
1990-06-17;1.4;
1990-06-18;2.1;
1990-06-19;2.6;
1990-06-20;1.9;
1990-06-21;3.4;
1990-06-22;7.2;
1990-06-23;6.9;
1990-06-24;5.6;
1990-06-25;5.7;
1990-06-26;6.6;
1990-06-27;4.1;
1990-06-28;5.7;
1990-06-29;1.3;
1990-06-30;1.9;
1990-07-01;2.4;
1990-07-02;5.6;
1990-07-03;6.6;
1990-07-04;6.6;
1990-07-05;6.5;
1990-07-06;7.2;
1990-07-07;6.3;
1990-07-08;7.4;
1990-07-09;6.4;
1990-07-10;6;
1990-07-11;0;
1990-07-12;0;
1990-07-13;.3;
1990-07-14;1.1;
1990-07-15;6.7;
1990-07-16;5.8;
1990-07-17;8.2;
1990-07-18;8.2;
1990-07-19;8.3;
1990-07-20;7.7;
1990-07-21;3.8;
1990-07-22;8.5;
1990-07-23;7.2;
1990-07-24;6.6;
1990-07-25;7.8;
1990-07-26;7.3;
1990-07-27;7.2;
