Nome: MACAE-PESAGRO
Codigo Estacao: 83057
Latitude: -22.38
Longitude: -41.77
Altitude: 0
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1997-01-12
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;4.5;
1990-03-26;9.4;
1990-03-27;9.7;
1990-03-28;9.4;
1990-03-29;8.7;
1990-03-30;8.4;
1990-03-31;10.3;
1990-04-01;4.1;
1990-04-02;10.8;
1990-04-03;7.7;
1990-04-04;6.3;
1990-04-05;8.7;
1990-04-06;8.2;
1990-04-07;8.5;
1990-04-08;10.2;
1990-04-09;6.2;
1990-04-10;0;
1990-04-11;6.6;
1990-04-12;4;
1990-04-13;9;
1990-04-14;8.6;
1990-04-15;7.2;
1990-04-16;4.8;
1990-04-17;10.2;
1990-04-18;8;
1990-04-19;0;
1990-04-20;2;
1990-04-21;6.2;
1990-04-22;2.6;
1990-04-23;8.6;
1990-04-24;10;
1990-04-25;10.2;
1990-04-26;10.1;
1990-04-27;10.1;
1990-04-28;9.9;
1990-04-29;8.2;
1990-04-30;7.6;
1990-05-01;2.4;
1990-05-02;0;
1990-05-03;9;
1990-05-04;9.1;
1990-05-05;7.9;
1990-05-06;4.1;
1990-05-07;9.8;
1990-05-08;8.3;
1990-05-09;5.2;
1990-05-10;9.5;
1990-05-11;5.7;
1990-05-12;.4;
1990-05-13;2.7;
1990-05-14;8.7;
1990-05-15;7.7;
1990-05-16;3.4;
1990-05-17;3.8;
1990-05-18;2.5;
1990-05-19;9.6;
1990-05-20;7.7;
1990-05-21;7.9;
1990-05-22;6.1;
1990-05-23;8.9;
1990-05-24;8.5;
1990-05-25;9.2;
1990-05-26;9.1;
1990-05-27;9.5;
1990-05-28;9.5;
1990-05-29;8.5;
1990-05-30;9.5;
1990-05-31;9.4;
1990-06-01;8.6;
1990-06-02;8.5;
1990-06-03;4.4;
1990-06-04;6.6;
1990-06-05;9.6;
1990-06-06;9.5;
1990-06-07;4.2;
1990-06-08;7.6;
1990-06-09;9.3;
1990-06-10;8.4;
1990-06-11;0;
1990-06-12;2.6;
1990-06-13;9.2;
1990-06-14;7.7;
1990-06-15;8.5;
1990-06-16;4;
1990-06-17;1.3;
1990-06-18;4.3;
1990-06-19;7.6;
1990-06-20;9.5;
1990-06-21;8.2;
1990-06-22;7.1;
1990-06-23;8.3;
1990-06-24;9.1;
1990-06-25;9.2;
1990-06-26;5.9;
1990-06-27;1.7;
1990-06-28;7.2;
1990-06-29;8.4;
1990-06-30;1.6;
1990-07-01;7;
1990-07-02;7.6;
1990-07-03;7.7;
1990-07-04;9;
1990-07-05;7.9;
1990-07-06;7.7;
1990-07-07;2.5;
1990-07-08;9.1;
1990-07-09;8.9;
1990-07-10;6;
1990-07-11;0;
1990-07-12;6.5;
1990-07-13;.2;
1990-07-14;6.4;
1990-07-15;8.4;
1990-07-16;9.3;
1990-07-17;1.4;
1990-07-18;0;
1990-07-19;7.8;
1990-07-20;4.6;
1990-07-21;.2;
1990-07-22;0;
1990-07-23;.7;
1990-07-24;5.5;
1990-07-25;7.5;
1990-07-26;7.2;
1990-07-27;8.1;
1990-07-28;9.5;
1990-07-29;.2;
1990-07-30;0;
1990-07-31;0;
1990-08-01;0;
1990-08-02;0;
1990-08-03;4.8;
1990-08-04;.8;
1990-08-05;2.9;
1990-08-06;7.7;
1990-08-07;2.4;
