Nome: SUZANO
Codigo Estacao: 83074
Latitude: -23.53
Longitude: -46.25
Altitude: 769
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1993-06-14
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;5.9;
1990-03-26;2.9;
1990-03-27;.5;
1990-03-28;2.7;
1990-03-29;6.2;
1990-03-30;5.1;
1990-03-31;6.7;
1990-04-01;4.4;
1990-04-02;8.3;
1990-04-03;.5;
1990-04-04;3.7;
1990-04-05;5.4;
1990-04-06;6.2;
1990-04-07;4.1;
1990-04-08;5.6;
1990-04-09;5.7;
1990-04-10;3.8;
1990-04-11;6.4;
1990-04-12;8.5;
1990-04-13;3.8;
1990-04-14;4.4;
1990-04-15;null;
1990-04-16;.4;
1990-04-17;3.5;
1990-04-18;.1;
1990-04-19;0;
1990-04-20;.1;
1990-04-21;2.8;
1990-04-22;6.4;
1990-04-23;9;
1990-04-24;8.1;
1990-04-25;8.5;
1990-04-26;9.2;
1990-04-27;9.3;
1990-04-28;7.1;
1990-04-29;2.9;
1990-04-30;0;
1990-05-01;.4;
1990-05-02;.6;
1990-05-03;5.5;
1990-05-04;6.4;
1990-05-05;3.7;
1990-05-06;1.4;
1990-05-07;5;
1990-05-08;3.5;
1990-05-09;8;
1990-05-10;6.5;
1990-05-11;0;
1990-05-12;0;
1990-05-13;.1;
1990-05-14;3.8;
1990-05-15;0;
1990-05-16;0;
1990-05-17;.4;
1990-05-18;7.2;
1990-05-19;4.6;
1990-05-20;4.6;
1990-05-21;5.5;
1990-05-22;7.4;
1990-05-23;7.3;
1990-05-24;6.3;
1990-05-25;6.7;
1990-05-26;6.2;
1990-05-27;7.7;
1990-05-28;5;
1990-05-29;3.4;
1990-05-30;7.2;
1990-05-31;5.9;
1990-06-01;1.8;
1990-06-02;1.6;
1990-06-03;1.6;
1990-06-04;6.5;
1990-06-05;6.2;
1990-06-06;2.2;
1990-06-07;0;
1990-06-08;4.4;
1990-06-09;6.2;
1990-06-10;.7;
1990-06-11;0;
1990-06-12;6.7;
1990-06-13;5.2;
1990-06-14;7.3;
1990-06-15;7.7;
1990-06-16;1.2;
1990-06-17;2.9;
1990-06-18;2.9;
1990-06-19;5.4;
1990-06-20;4.8;
1990-06-21;5.1;
1990-06-22;7.9;
1990-06-23;7;
1990-06-24;5.5;
1990-06-25;5.6;
1990-06-26;0;
1990-06-27;6.2;
1990-06-28;4.9;
1990-06-29;1.7;
1990-06-30;3.6;
1990-07-01;1.2;
1990-07-02;5.4;
1990-07-03;5.2;
1990-07-04;5.3;
1990-07-05;2.8;
1990-07-06;5.4;
1990-07-07;5.4;
1990-07-08;6.2;
1990-07-09;5.6;
1990-07-10;.2;
1990-07-11;0;
1990-07-12;3.9;
1990-07-13;7.6;
1990-07-14;6.8;
1990-07-15;5.1;
1990-07-16;null;
1990-07-17;null;
1990-07-18;0;
1990-07-19;3.4;
1990-07-20;1.3;
1990-07-21;5.7;
1990-07-22;0;
1990-07-23;0;
1990-07-24;.1;
1990-07-25;1.6;
1990-07-26;3.2;
1990-07-27;2.8;
1990-07-28;3.6;
1990-07-29;4.6;
1990-07-30;7.6;
1990-07-31;.1;
1990-08-01;null;
1990-08-02;null;
1990-08-03;null;
1990-08-04;null;
1990-08-05;null;
1990-08-06;null;
1990-08-07;null;
1990-08-08;null;
1990-08-09;null;
1990-08-10;null;
1990-08-11;null;
1990-08-12;null;
1990-08-13;null;
1990-08-14;null;
1990-08-15;null;
1990-08-16;null;
1990-08-17;null;
1990-08-18;null;
1990-08-19;null;
1990-08-20;null;
1990-08-21;null;
1990-08-22;null;
1990-08-23;null;
1990-08-24;null;
1990-08-25;null;
1990-08-26;null;
1990-08-27;null;
1990-08-28;null;
1990-08-29;null;
1990-08-30;null;
1990-08-31;null;
1990-09-01;.4;
1990-09-02;0;
1990-09-03;0;
1990-09-04;0;
1990-09-05;0;
1990-09-06;.5;
1990-09-07;0;
1990-09-08;null;
1990-09-09;3.6;
1990-09-10;2.2;
1990-09-11;1.8;
1990-09-12;.4;
1990-09-13;0;
1990-09-14;0;
1990-09-15;1.1;
1990-09-16;3;
1990-09-17;3.7;
1990-09-18;2.9;
1990-09-19;2.5;
1990-09-20;1.2;
1990-09-21;.8;
1990-09-22;1;
1990-09-23;0;
1990-09-24;0;
1990-09-25;2.8;
1990-09-26;5;
1990-09-27;5.5;
1990-09-28;0;
1990-09-29;0;
1990-09-30;.4;
1990-10-01;0;
1990-10-02;3;
1990-10-03;0;
1990-10-04;1.9;
1990-10-05;6.7;
1990-10-06;7.1;
1990-10-07;7.7;
1990-10-08;null;
1990-10-09;3.5;
1990-10-10;8.4;
1990-10-11;5.5;
1990-10-12;5.8;
1990-10-13;2.8;
1990-10-14;6.4;
1990-10-15;0;
1990-10-16;0;
1990-10-17;0;
1990-10-18;.2;
1990-10-19;.9;
1990-10-20;2.6;
1990-10-21;1.3;
1990-10-22;6;
1990-10-23;6.7;
1990-10-24;0;
1990-10-25;4.3;
1990-10-26;8.9;
1990-10-27;9.5;
1990-10-28;7.1;
1990-10-29;6.4;
1990-10-30;8;
1990-10-31;6.4;
1990-11-01;.3;
1990-11-02;0;
1990-11-03;0;
1990-11-04;0;
1990-11-05;0;
1990-11-06;.6;
1990-11-07;0;
1990-11-08;0;
1990-11-09;3.6;
1990-11-10;2.2;
1990-11-11;2.1;
1990-11-12;.4;
1990-11-13;0;
1990-11-14;0;
1990-11-15;1;
1990-11-16;2.9;
1990-11-17;3.5;
1990-11-18;3;
1990-11-19;2.4;
1990-11-20;1.2;
1990-11-21;.8;
1990-11-22;1;
1990-11-23;.4;
1990-11-24;0;
1990-11-25;0;
1990-11-26;5;
1990-11-27;3.4;
1990-11-28;3.2;
1990-11-29;0;
1990-11-30;0;
1990-12-01;9;
1990-12-02;10;
1990-12-03;8.6;
1990-12-04;0;
1990-12-05;6.4;
1990-12-06;8.7;
1990-12-07;0;
1990-12-08;1.8;
1990-12-09;2.7;
1990-12-10;0;
1990-12-11;1.4;
1990-12-12;.9;
1990-12-13;.7;
1990-12-14;0;
1990-12-15;0;
1990-12-16;7;
1990-12-17;8.8;
1990-12-18;6.8;
1990-12-19;7.2;
1990-12-20;4.3;
1990-12-21;6.6;
1990-12-22;7.7;
1990-12-23;9;
1990-12-24;4;
1990-12-25;1.2;
1990-12-26;4.2;
1990-12-27;7;
1990-12-28;7.9;
1990-12-29;.2;
