Nome: VOLTA REDONDA
Codigo Estacao: 83111
Latitude: -22.52
Longitude: -44.1
Altitude: 375
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1991-05-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;7.6;
1990-03-26;4.4;
1990-03-27;6.3;
1990-03-28;6.5;
1990-03-29;10.2;
1990-03-30;8.8;
1990-03-31;8.9;
1990-04-01;0;
1990-04-02;null;
1990-04-03;null;
1990-04-04;null;
1990-04-05;null;
1990-04-06;null;
1990-04-07;null;
1990-04-08;null;
1990-04-09;null;
1990-04-10;null;
1990-04-11;null;
1990-04-12;null;
1990-04-13;null;
1990-04-14;null;
1990-04-15;null;
1990-04-16;null;
1990-04-17;null;
1990-04-18;null;
1990-04-19;null;
1990-04-20;null;
1990-04-21;null;
1990-04-22;null;
1990-04-23;null;
1990-04-24;null;
1990-04-25;null;
1990-04-26;null;
1990-04-27;null;
1990-04-28;null;
1990-04-29;null;
1990-04-30;null;
1990-05-01;.3;
1990-05-02;0;
1990-05-03;6.7;
1990-05-04;7.6;
1990-05-05;4.3;
1990-05-06;5.8;
1990-05-07;7;
1990-05-08;4.4;
1990-05-09;7.2;
1990-05-10;7.7;
1990-05-11;2.8;
1990-05-12;2;
1990-05-13;3.5;
1990-05-14;10.1;
1990-05-15;7.2;
1990-05-16;3.8;
1990-05-17;2;
1990-05-18;6.1;
1990-05-19;7.3;
1990-05-20;7.3;
1990-05-21;7.9;
1990-05-22;4.3;
1990-05-23;8.1;
1990-05-24;8.1;
1990-05-25;8;
1990-05-26;7.8;
1990-05-27;8.7;
1990-05-28;7.6;
1990-05-29;7.8;
1990-05-30;9.3;
1990-05-31;8.6;
1990-06-01;7.3;
1990-06-02;8.3;
1990-06-03;8.3;
1990-06-04;9.3;
1990-06-05;9;
1990-06-06;5.6;
1990-06-07;2;
1990-06-08;6.8;
1990-06-09;7.6;
1990-06-10;6.8;
1990-06-11;.2;
1990-06-12;2.4;
1990-06-13;7.2;
1990-06-14;5.9;
1990-06-15;8.5;
1990-06-16;.5;
1990-06-17;1.6;
1990-06-18;6;
1990-06-19;8.7;
1990-06-20;9.3;
1990-06-21;8.5;
1990-06-22;3.3;
1990-06-23;8;
