Nome: ENG. DOLABELA (BOCAIUVA)
Codigo Estacao: 83438
Latitude: -17.1
Longitude: -43.8
Altitude: 633
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1997-10-09
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;6.7;
1990-03-26;6.9;
1990-03-27;7.5;
1990-03-28;10.2;
1990-03-29;9.7;
1990-03-30;10.6;
1990-03-31;7;
1990-04-01;9.4;
1990-04-02;9.7;
1990-04-03;9.4;
1990-04-04;4.7;
1990-04-05;7.7;
1990-04-06;8.2;
1990-04-07;10.3;
1990-04-08;10.4;
1990-04-09;10.4;
1990-04-10;5.7;
1990-04-11;2.5;
1990-04-12;7.1;
1990-04-13;5.8;
1990-04-14;8.5;
1990-04-15;8.2;
1990-04-16;8.5;
1990-04-17;9.1;
1990-04-18;8.9;
1990-04-19;10.6;
1990-04-20;10.5;
1990-04-21;9.8;
1990-04-22;10.2;
1990-04-23;2.2;
1990-04-24;5.8;
1990-04-25;6.9;
1990-04-26;7.6;
1990-04-27;6.8;
1990-04-28;10.3;
1990-04-29;10.6;
1990-04-30;9.9;
1990-05-01;9.8;
1990-05-02;9.1;
1990-05-03;5.6;
1990-05-04;8.1;
1990-05-05;5.5;
1990-05-06;.1;
1990-05-07;6.6;
1990-05-08;8.8;
1990-05-09;0;
1990-05-10;1.7;
1990-05-11;9.4;
1990-05-12;5.5;
1990-05-13;3.7;
1990-05-14;9.6;
1990-05-15;9.4;
1990-05-16;10.5;
1990-05-17;10.5;
1990-05-18;9.6;
1990-05-19;8.6;
1990-05-20;10.5;
1990-05-21;10.6;
1990-05-22;10.4;
1990-05-23;10.2;
1990-05-24;9.6;
1990-05-25;10.4;
1990-05-26;10.2;
1990-05-27;10.7;
1990-05-28;9.4;
1990-05-29;8.4;
1990-05-30;9.6;
1990-05-31;9.7;
1990-06-01;5;
1990-06-02;8.1;
1990-06-03;8.2;
1990-06-04;6.6;
1990-06-05;9.2;
1990-06-06;10.2;
1990-06-07;10.4;
1990-06-08;10.4;
1990-06-09;10;
1990-06-10;10.4;
1990-06-11;9.8;
1990-06-12;7.6;
1990-06-13;9.4;
1990-06-14;9.4;
1990-06-15;8.3;
1990-06-16;8.6;
1990-06-17;7.5;
1990-06-18;5.2;
1990-06-19;3.8;
1990-06-20;6.5;
1990-06-21;9.3;
1990-06-22;9.7;
1990-06-23;9.8;
1990-06-24;10.3;
1990-06-25;10.1;
1990-06-26;9.4;
1990-06-27;7.5;
1990-06-28;7.5;
1990-06-29;0;
1990-06-30;4.3;
1990-07-01;2.8;
1990-07-02;9;
1990-07-03;8.8;
1990-07-04;8.4;
1990-07-05;8.2;
1990-07-06;9.7;
1990-07-07;7.3;
1990-07-08;10.2;
1990-07-09;10.2;
1990-07-10;9.1;
1990-07-11;2.2;
1990-07-12;0;
1990-07-13;0;
1990-07-14;9.5;
1990-07-15;10.5;
1990-07-16;10.6;
1990-07-17;10.5;
1990-07-18;10.5;
1990-07-19;10.2;
1990-07-20;10.4;
1990-07-21;9.9;
1990-07-22;9.7;
1990-07-23;9.5;
1990-07-24;10.5;
1990-07-25;9.6;
1990-07-26;10.4;
1990-07-27;9.5;
1990-07-28;10;
1990-07-29;4.3;
1990-07-30;10;
1990-07-31;7;
1990-08-01;10.2;
1990-08-02;10.4;
1990-08-03;10.1;
1990-08-04;9.2;
1990-08-05;4.9;
1990-08-06;10.4;
1990-08-07;6.4;
1990-08-08;6;
1990-08-09;.6;
1990-08-10;7.9;
1990-08-11;9.5;
1990-08-12;9.1;
1990-08-13;9.6;
1990-08-14;7.3;
1990-08-15;8;
1990-08-16;9.2;
1990-08-17;8.4;
1990-08-18;8.9;
1990-08-19;10.2;
1990-08-20;9.6;
1990-08-21;8.8;
1990-08-22;7.2;
1990-08-23;4.4;
1990-08-24;7.8;
1990-08-25;10.8;
1990-08-26;8.5;
1990-08-27;9.4;
1990-08-28;4.1;
1990-08-29;1.1;
1990-08-30;0;
1990-08-31;.9;
1990-09-01;7.3;
1990-09-02;4.1;
1990-09-03;9.7;
1990-09-04;5.2;
1990-09-05;5.7;
1990-09-06;10.7;
1990-09-07;10.5;
1990-09-08;9.1;
1990-09-09;.9;
1990-09-10;.5;
1990-09-11;10.5;
1990-09-12;10.7;
1990-09-13;10.1;
1990-09-14;6.1;
1990-09-15;1.7;
1990-09-16;9.8;
1990-09-17;10.1;
1990-09-18;10.9;
1990-09-19;10.6;
1990-09-20;10.9;
1990-09-21;10.7;
1990-09-22;9.3;
1990-09-23;7.2;
1990-09-24;2.5;
1990-09-25;.9;
1990-09-26;3.2;
1990-09-27;10.1;
1990-09-28;10.7;
1990-09-29;8.4;
1990-09-30;5.8;
1990-10-01;1;
1990-10-02;9.8;
1990-10-03;9.6;
1990-10-04;7.8;
1990-10-05;5.5;
1990-10-06;7.4;
1990-10-07;9.6;
1990-10-08;10;
1990-10-09;11.2;
1990-10-10;10.4;
1990-10-11;10.9;
1990-10-12;11;
1990-10-13;7.2;
1990-10-14;7.4;
1990-10-15;8.9;
1990-10-16;2.7;
1990-10-17;3.5;
1990-10-18;10.8;
1990-10-19;7.3;
1990-10-20;7.9;
1990-10-21;5.6;
1990-10-22;5.9;
1990-10-23;2.9;
1990-10-24;3.6;
1990-10-25;8;
1990-10-26;8.2;
1990-10-27;10.5;
1990-10-28;9.2;
1990-10-29;8;
1990-10-30;9.4;
1990-10-31;7.3;
1990-11-01;9.4;
1990-11-02;7.5;
1990-11-03;5.9;
1990-11-04;2.6;
1990-11-05;.3;
1990-11-06;1.5;
1990-11-07;12;
1990-11-08;12.4;
1990-11-09;10.8;
