Nome: ITABIRA
Codigo Estacao: 83590
Latitude: -19.62
Longitude: -43.22
Altitude: 845
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1992-11-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;5.4;
1990-03-26;6.3;
1990-03-27;4.3;
1990-03-28;7.9;
1990-03-29;7;
1990-03-30;8.7;
1990-03-31;8.2;
1990-04-01;7.3;
1990-04-02;7.4;
1990-04-03;8.9;
1990-04-04;7.6;
1990-04-05;7.3;
1990-04-06;9.5;
1990-04-07;8.6;
1990-04-08;10.1;
1990-04-09;7.2;
1990-04-10;2.7;
1990-04-11;3.8;
1990-04-12;1.4;
1990-04-13;8.4;
1990-04-14;8.8;
1990-04-15;9.7;
1990-04-16;9;
1990-04-17;9.8;
1990-04-18;7.8;
1990-04-19;4.4;
1990-04-20;1.6;
1990-04-21;8;
1990-04-22;7.1;
1990-04-23;8.4;
1990-04-24;5.4;
1990-04-25;5.7;
1990-04-26;5;
1990-04-27;9.3;
1990-04-28;10.1;
1990-04-29;7.1;
1990-04-30;10.2;
1990-05-01;6.2;
1990-05-02;1.5;
1990-05-03;1.7;
1990-05-04;6.9;
1990-05-05;2.7;
1990-05-06;0;
1990-05-07;8.6;
1990-05-08;6.4;
1990-05-09;.9;
1990-05-10;9.4;
1990-05-11;6.9;
1990-05-12;1.9;
1990-05-13;.6;
1990-05-14;8.1;
1990-05-15;5.7;
1990-05-16;9.3;
1990-05-17;7.7;
1990-05-18;5.6;
1990-05-19;9.4;
1990-05-20;9.7;
1990-05-21;9.9;
1990-05-22;9.5;
1990-05-23;0;
1990-05-24;6;
1990-05-25;8.1;
1990-05-26;9.9;
1990-05-27;7.8;
1990-05-28;9.6;
1990-05-29;9.7;
1990-05-30;4.2;
1990-05-31;4.1;
1990-06-01;1.4;
1990-06-02;1.1;
1990-06-03;0;
1990-06-04;2.5;
1990-06-05;7.5;
1990-06-06;6.2;
1990-06-07;9;
1990-06-08;8.1;
1990-06-09;7.1;
1990-06-10;9.2;
1990-06-11;6.6;
1990-06-12;0;
1990-06-13;0;
1990-06-14;4.4;
1990-06-15;4.9;
1990-06-16;7.7;
1990-06-17;4.3;
1990-06-18;1.1;
1990-06-19;3.5;
1990-06-20;.4;
1990-06-21;8;
1990-06-22;8.9;
1990-06-23;9.2;
1990-06-24;9.8;
1990-06-25;8.6;
1990-06-26;9;
1990-06-27;8;
1990-06-28;2.7;
1990-06-29;1.2;
1990-06-30;0;
1990-07-01;1;
1990-07-02;6.8;
1990-07-03;7.9;
1990-07-04;7.4;
1990-07-05;8.6;
1990-07-06;5.9;
1990-07-07;2.3;
1990-07-08;8.3;
1990-07-09;9.5;
1990-07-10;8.5;
1990-07-11;0;
1990-07-12;0;
1990-07-13;0;
1990-07-14;6.7;
1990-07-15;6.5;
1990-07-16;7.1;
1990-07-17;8.8;
1990-07-18;8.4;
1990-07-19;9.9;
1990-07-20;9.5;
1990-07-21;9.8;
1990-07-22;7.2;
1990-07-23;4.7;
1990-07-24;7.6;
1990-07-25;10;
1990-07-26;9.7;
1990-07-27;7.1;
1990-07-28;7.8;
1990-07-29;.4;
1990-07-30;.2;
1990-07-31;2.3;
1990-08-01;2.4;
1990-08-02;6;
1990-08-03;5.5;
1990-08-04;4;
1990-08-05;2.1;
1990-08-06;7.3;
1990-08-07;5.2;
1990-08-08;.4;
1990-08-09;0;
1990-08-10;6.5;
1990-08-11;6.1;
1990-08-12;7.6;
1990-08-13;9.1;
1990-08-14;8.9;
1990-08-15;2.1;
1990-08-16;8.5;
1990-08-17;3.1;
1990-08-18;0;
1990-08-19;4.9;
1990-08-20;4.7;
1990-08-21;2.9;
1990-08-22;1.8;
1990-08-23;0;
1990-08-24;0;
1990-08-25;.5;
1990-08-26;9.5;
1990-08-27;6.6;
1990-08-28;0;
1990-08-29;0;
1990-08-30;0;
1990-08-31;1.3;
1990-09-01;5;
1990-09-02;4.9;
1990-09-03;0;
1990-09-04;.2;
1990-09-05;3.7;
1990-09-06;9;
1990-09-07;1;
1990-09-08;3.7;
1990-09-09;4.2;
1990-09-10;3.4;
1990-09-11;8.4;
1990-09-12;10.3;
1990-09-13;8.8;
1990-09-14;.8;
1990-09-15;0;
1990-09-16;6.3;
1990-09-17;7.5;
1990-09-18;8.7;
1990-09-19;10.4;
1990-09-20;10.5;
1990-09-21;8.7;
1990-09-22;3.4;
1990-09-23;6.3;
1990-09-24;0;
1990-09-25;0;
1990-09-26;1.1;
1990-09-27;2.4;
1990-09-28;8.4;
1990-09-29;7.5;
1990-09-30;4.9;
