Nome: OURO BRANCO
Codigo Estacao: 83638
Latitude: -20.5
Longitude: -43.7
Altitude: 1.07
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1990-09-10
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;3.2;
1990-03-26;5.4;
1990-03-27;2.8;
1990-03-28;7.1;
1990-03-29;7.9;
1990-03-30;9.4;
1990-03-31;7.9;
1990-04-01;6.4;
1990-04-02;9.4;
1990-04-03;9;
1990-04-04;3.5;
1990-04-05;8.3;
1990-04-06;4.9;
1990-04-07;10;
1990-04-08;8.7;
1990-04-09;7.5;
1990-04-10;3.4;
1990-04-11;7.8;
1990-04-12;5.9;
1990-04-13;5.8;
1990-04-14;5.5;
1990-04-15;6;
1990-04-16;null;
1990-04-17;null;
1990-04-18;7.2;
1990-04-19;0;
1990-04-20;5.9;
1990-04-21;8.6;
1990-04-22;10.4;
1990-04-23;9.8;
1990-04-24;9.8;
1990-04-25;7.5;
1990-04-26;9.2;
1990-04-27;10.5;
1990-04-28;9.3;
1990-04-29;9.3;
1990-04-30;10.2;
1990-05-01;2.9;
1990-05-02;1.6;
1990-05-03;4;
1990-05-04;8.9;
1990-05-05;7.7;
1990-05-06;1.1;
1990-05-07;5.8;
1990-05-08;8.1;
1990-05-09;5.3;
1990-05-10;9;
1990-05-11;2.6;
1990-05-12;4.9;
1990-05-13;2.4;
1990-05-14;8.8;
1990-05-15;8.6;
1990-05-16;4.6;
1990-05-17;7.6;
1990-05-18;7.6;
1990-05-19;10.1;
1990-05-20;10.1;
1990-05-21;9.8;
1990-05-22;7.5;
1990-05-23;8.2;
1990-05-24;8.4;
1990-05-25;9.4;
1990-05-26;9.7;
1990-05-27;7.4;
1990-05-28;9.5;
1990-05-29;9.9;
1990-05-30;2.8;
1990-05-31;9.6;
1990-06-01;7.6;
1990-06-02;5.2;
1990-06-03;4.7;
1990-06-04;6;
1990-06-05;9.8;
1990-06-06;9.3;
1990-06-07;9.5;
1990-06-08;9.8;
1990-06-09;9;
1990-06-10;9.5;
1990-06-11;.2;
1990-06-12;0;
1990-06-13;7.9;
1990-06-14;8.7;
1990-06-15;6.7;
1990-06-16;8;
1990-06-17;6.2;
1990-06-18;5.1;
1990-06-19;7.2;
1990-06-20;9.3;
1990-06-21;9.1;
1990-06-22;9.2;
1990-06-23;9.9;
1990-06-24;10;
1990-06-25;8.8;
1990-06-26;6.9;
1990-06-27;6.8;
1990-06-28;5.7;
1990-06-29;4.3;
1990-06-30;2.6;
1990-07-01;4.4;
1990-07-02;5.5;
1990-07-03;7.4;
1990-07-04;6.4;
1990-07-05;8.2;
1990-07-06;2.6;
1990-07-07;4.6;
1990-07-08;9.7;
1990-07-09;9.3;
1990-07-10;6.1;
1990-07-11;0;
1990-07-12;0;
1990-07-13;2.6;
1990-07-14;5.1;
1990-07-15;9.2;
1990-07-16;6;
1990-07-17;9.1;
1990-07-18;7.9;
1990-07-19;7.9;
1990-07-20;9.3;
1990-07-21;null;
1990-07-22;null;
1990-07-23;5.8;
1990-07-24;9.6;
1990-07-25;10.1;
1990-07-26;9.7;
1990-07-27;null;
1990-07-28;null;
1990-07-29;null;
1990-07-30;0;
1990-07-31;null;
1990-08-01;0;
1990-08-02;6.4;
1990-08-03;5.4;
1990-08-04;null;
1990-08-05;null;
1990-08-06;null;
1990-08-07;null;
1990-08-08;3.9;
1990-08-09;9.1;
1990-08-10;2.9;
1990-08-11;null;
1990-08-12;null;
1990-08-13;1.6;
1990-08-14;7.9;
1990-08-15;null;
1990-08-16;null;
1990-08-17;null;
1990-08-18;null;
1990-08-19;null;
1990-08-20;9.4;
1990-08-21;6.8;
1990-08-22;8;
1990-08-23;.7;
1990-08-24;null;
1990-08-25;null;
1990-08-26;null;
1990-08-27;null;
1990-08-28;.3;
1990-08-29;4.9;
1990-08-30;.5;
1990-08-31;0;
1990-09-01;null;
1990-09-02;null;
1990-09-03;null;
1990-09-04;null;
1990-09-05;null;
1990-09-06;null;
1990-09-07;null;
1990-09-08;null;
1990-09-09;null;
1990-09-10;null;

