Nome: OURO PRETO
Codigo Estacao: 83641
Latitude: -20.38
Longitude: -43.5
Altitude: 1.14
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1990-10-16
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;5.5;
1990-03-26;3.9;
1990-03-27;.9;
1990-03-28;9.7;
1990-03-29;8.1;
1990-03-30;8.9;
1990-03-31;9.8;
1990-04-01;null;
1990-04-02;null;
1990-04-03;null;
1990-04-04;null;
1990-04-05;null;
1990-04-06;null;
1990-04-07;null;
1990-04-08;null;
1990-04-09;null;
1990-04-10;null;
1990-04-11;null;
1990-04-12;null;
1990-04-13;null;
1990-04-14;null;
1990-04-15;null;
1990-04-16;null;
1990-04-17;null;
1990-04-18;null;
1990-04-19;null;
1990-04-20;null;
1990-04-21;null;
1990-04-22;null;
1990-04-23;null;
1990-04-24;null;
1990-04-25;null;
1990-04-26;null;
1990-04-27;null;
1990-04-28;null;
1990-04-29;null;
1990-04-30;null;
1990-05-01;0;
1990-05-02;.4;
1990-05-03;0;
1990-05-04;5.8;
1990-05-05;0;
1990-05-06;0;
1990-05-07;7.7;
1990-05-08;7.1;
1990-05-09;6.7;
1990-05-10;7.6;
1990-05-11;3.2;
1990-05-12;3.7;
1990-05-13;0;
1990-05-14;5.9;
1990-05-15;3.6;
1990-05-16;6.2;
1990-05-17;7.6;
1990-05-18;5.3;
1990-05-19;9.1;
1990-05-20;9.1;
1990-05-21;9.3;
1990-05-22;6.9;
1990-05-23;null;
1990-05-24;7.1;
1990-05-25;8;
1990-05-26;9;
1990-05-27;null;
1990-05-28;8.9;
1990-05-29;8.4;
1990-05-30;2.9;
1990-05-31;6;
1990-06-01;5.4;
1990-06-02;1.6;
1990-06-03;1.2;
1990-06-04;null;
1990-06-05;8.2;
1990-06-06;0;
1990-06-07;8.9;
1990-06-08;3.7;
1990-06-09;8.7;
1990-06-10;8.4;
1990-06-11;0;
1990-06-12;1.8;
1990-06-13;null;
1990-06-14;null;
1990-06-15;5.6;
1990-06-16;6.1;
1990-06-17;2.6;
1990-06-18;3.9;
1990-06-19;5;
1990-06-20;6.6;
1990-06-21;6.9;
1990-06-22;8.7;
1990-06-23;9.1;
1990-06-24;9.2;
1990-06-25;8.5;
1990-06-26;7.7;
1990-06-27;8.4;
1990-06-28;6.4;
1990-06-29;4;
1990-06-30;1.7;
1990-07-01;0;
1990-07-02;7.3;
1990-07-03;3.9;
1990-07-04;8.9;
1990-07-05;8.7;
1990-07-06;0;
1990-07-07;5.6;
1990-07-08;0;
1990-07-09;8.1;
1990-07-10;6;
1990-07-11;0;
1990-07-12;0;
1990-07-13;7.2;
1990-07-14;null;
1990-07-15;8.8;
1990-07-16;7.6;
1990-07-17;8.1;
1990-07-18;7.1;
1990-07-19;0;
1990-07-20;9;
1990-07-21;null;
1990-07-22;0;
1990-07-23;0;
1990-07-24;7.9;
1990-07-25;9.1;
1990-07-26;9.5;
1990-07-27;8.4;
1990-07-28;5.6;
1990-07-29;.4;
1990-07-30;2.9;
1990-07-31;1;
1990-08-01;null;
1990-08-02;null;
1990-08-03;null;
1990-08-04;null;
1990-08-05;null;
1990-08-06;null;
1990-08-07;null;
1990-08-08;null;
1990-08-09;null;
1990-08-10;null;
1990-08-11;null;
1990-08-12;null;
1990-08-13;null;
1990-08-14;null;
1990-08-15;null;
1990-08-16;null;
1990-08-17;null;
1990-08-18;null;
1990-08-19;null;
1990-08-20;null;
1990-08-21;null;
1990-08-22;null;
1990-08-23;null;
1990-08-24;null;
1990-08-25;null;
1990-08-26;null;
1990-08-27;null;
1990-08-28;null;
1990-08-29;null;
1990-08-30;null;
1990-08-31;null;
1990-09-01;7;
1990-09-02;6.5;
1990-09-03;0;
1990-09-04;1.7;
1990-09-05;4.3;
1990-09-06;5.6;
1990-09-07;0;
1990-09-08;3.6;
1990-09-09;3.3;
1990-09-10;7;
1990-09-11;7.3;
1990-09-12;8.9;
1990-09-13;3;
1990-09-14;0;
1990-09-15;0;
1990-09-16;4.1;
1990-09-17;7.6;
1990-09-18;9.8;
1990-09-19;9.7;
1990-09-20;null;
1990-09-21;6.5;
1990-09-22;3.4;
1990-09-23;6.4;
1990-09-24;0;
1990-09-25;2;
1990-09-26;7.9;
1990-09-27;3.1;
1990-09-28;8.6;
1990-09-29;0;
1990-09-30;2.8;
1990-10-01;null;
1990-10-02;null;
1990-10-03;null;
1990-10-04;null;
1990-10-05;null;
1990-10-06;null;
1990-10-07;null;
1990-10-08;null;
1990-10-09;null;
1990-10-10;null;
1990-10-11;null;
1990-10-12;null;
1990-10-13;null;
1990-10-14;null;
1990-10-15;null;
1990-10-16;null;

