Nome: VASSOURAS
Codigo Estacao: 83742
Latitude: -22.4
Longitude: -43.67
Altitude: 437
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1990-05-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;6;
1990-03-26;3.5;
1990-03-27;3.4;
1990-03-28;8;
1990-03-29;6.5;
1990-03-30;9.3;
1990-03-31;9.3;
1990-04-01;6.9;
1990-04-02;6.2;
1990-04-03;7.4;
1990-04-04;5.1;
1990-04-05;6.8;
1990-04-06;6;
1990-04-07;4.4;
1990-04-08;6.3;
1990-04-09;4.7;
1990-04-10;3.7;
1990-04-11;5.9;
1990-04-12;3.6;
1990-04-13;2.5;
1990-04-14;5.2;
1990-04-15;6.5;
1990-04-16;1;
1990-04-17;5.2;
1990-04-18;3.3;
1990-04-19;0;
1990-04-20;0;
1990-04-21;4.7;
1990-04-22;7;
1990-04-23;7.3;
1990-04-24;7;
1990-04-25;6.6;
1990-04-26;7;
1990-04-27;7.2;
1990-04-28;7.1;
1990-04-29;6.1;
1990-04-30;3.2;
1990-05-01;0;
1990-05-02;.2;
1990-05-03;4.8;
1990-05-04;5.5;
1990-05-05;3.4;
1990-05-06;2.6;
1990-05-07;6.1;
1990-05-08;5.3;
1990-05-09;3.4;
1990-05-10;7;
1990-05-11;1.1;
1990-05-12;0;
1990-05-13;.3;
1990-05-14;5.8;
1990-05-15;2.9;
1990-05-16;0;
1990-05-17;3.1;
1990-05-18;3;
1990-05-19;7.2;
1990-05-20;4.8;
1990-05-21;6.5;
1990-05-22;2;
1990-05-23;5.6;
1990-05-24;4.8;
1990-05-25;6.4;
1990-05-26;6.3;
1990-05-27;6.5;
1990-05-28;6.6;
1990-05-29;5.2;
1990-05-30;6.6;
1990-05-31;6.6;

