Nome: ILHA GUAIBA
Codigo Estacao: 83758
Latitude: -23
Longitude: -44.03
Altitude: 64
Situacao: Desativada
Data Inicial: 1990-03-25
Data Final: 1994-11-30
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
1990-03-25;5.2;
1990-03-26;2.9;
1990-03-27;2.7;
1990-03-28;9.5;
1990-03-29;5.7;
1990-03-30;10;
1990-03-31;10.6;
1990-04-01;8.7;
1990-04-02;8.5;
1990-04-03;6.4;
1990-04-04;6.1;
1990-04-05;9.5;
1990-04-06;9.4;
1990-04-07;3.4;
1990-04-08;7.3;
1990-04-09;3;
1990-04-10;6.3;
1990-04-11;6.7;
1990-04-12;8.9;
1990-04-13;3.2;
1990-04-14;8.1;
1990-04-15;6.1;
1990-04-16;.9;
1990-04-17;1.8;
1990-04-18;6;
1990-04-19;0;
1990-04-20;.8;
1990-04-21;7.5;
1990-04-22;10;
1990-04-23;10.5;
1990-04-24;8.7;
1990-04-25;10.5;
1990-04-26;10.3;
1990-04-27;10.4;
1990-04-28;10;
1990-04-29;8.8;
1990-04-30;.9;
1990-05-01;0;
1990-05-02;0;
1990-05-03;7.1;
1990-05-04;6.8;
1990-05-05;7.5;
1990-05-06;5.9;
1990-05-07;9;
1990-05-08;6.8;
1990-05-09;9.1;
1990-05-10;9.8;
1990-05-11;.9;
1990-05-12;.1;
1990-05-13;1.7;
1990-05-14;9;
1990-05-15;2.3;
1990-05-16;0;
1990-05-17;5;
1990-05-18;1.4;
1990-05-19;9.5;
1990-05-20;0;
1990-05-21;7.2;
1990-05-22;1.3;
1990-05-23;9.6;
1990-05-24;9.3;
1990-05-25;9.8;
1990-05-26;9.4;
1990-05-27;9.6;
1990-05-28;9.2;
1990-05-29;5.5;
1990-05-30;9.7;
1990-05-31;9.2;
1990-06-01;8.2;
1990-06-02;5.8;
1990-06-03;4.8;
1990-06-04;6.8;
1990-06-05;9.6;
1990-06-06;9.5;
1990-06-07;.1;
1990-06-08;7.6;
1990-06-09;7.8;
1990-06-10;6.3;
1990-06-11;0;
1990-06-12;9.4;
1990-06-13;8.4;
1990-06-14;8.4;
1990-06-15;7.2;
1990-06-16;1.4;
1990-06-17;.2;
1990-06-18;7.4;
1990-06-19;9.6;
1990-06-20;7;
1990-06-21;0;
1990-06-22;9.6;
1990-06-23;7.8;
1990-06-24;9.5;
1990-06-25;9.3;
1990-06-26;.2;
1990-06-27;5.2;
1990-06-28;8.7;
1990-06-29;6.4;
1990-06-30;4.1;
1990-07-01;4.1;
1990-07-02;4.1;
1990-07-03;6.1;
1990-07-04;8.5;
1990-07-05;6;
1990-07-06;5.6;
1990-07-07;9.1;
1990-07-08;7.4;
1990-07-09;8.8;
1990-07-10;5;
1990-07-11;0;
1990-07-12;7.3;
1990-07-13;6.2;
1990-07-14;9;
1990-07-15;9.7;
1990-07-16;8.4;
1990-07-17;2.5;
1990-07-18;4.1;
1990-07-19;5;
1990-07-20;0;
1990-07-21;0;
1990-07-22;.5;
1990-07-23;.4;
1990-07-24;9.2;
1990-07-25;2.1;
1990-07-26;9;
1990-07-27;9.1;
1990-07-28;0;
1990-07-29;0;
1990-07-30;4;
1990-07-31;0;
1990-08-01;0;
1990-08-02;6.2;
1990-08-03;6.6;
1990-08-04;8.6;
1990-08-05;4.4;
1990-08-06;7.7;
1990-08-07;8.9;
1990-08-08;10.1;
1990-08-09;8.6;
1990-08-10;0;
1990-08-11;6.3;
1990-08-12;8.6;
1990-08-13;9.1;
1990-08-14;9.2;
1990-08-15;9.6;
1990-08-16;3.7;
1990-08-17;.1;
1990-08-18;0;
1990-08-19;8;
1990-08-20;6.4;
1990-08-21;0;
1990-08-22;0;
1990-08-23;0;
1990-08-24;.2;
1990-08-25;8.8;
1990-08-26;10.3;
1990-08-27;3.2;
1990-08-28;.4;
1990-08-29;0;
1990-08-30;7.6;
1990-08-31;9.3;
1990-09-01;8.3;
1990-09-02;.7;
1990-09-03;0;
1990-09-04;0;
1990-09-05;5.1;
1990-09-06;5.5;
1990-09-07;2.1;
1990-09-08;1.4;
1990-09-09;5.9;
1990-09-10;10.4;
1990-09-11;10.2;
1990-09-12;7.5;
1990-09-13;0;
1990-09-14;0;
1990-09-15;0;
1990-09-16;10.9;
1990-09-17;6.7;
1990-09-18;10.2;
1990-09-19;10.4;
1990-09-20;7.3;
1990-09-21;1.8;
1990-09-22;9.9;
1990-09-23;3.2;
1990-09-24;0;
1990-09-25;.4;
1990-09-26;7.6;
1990-09-27;6.6;
1990-09-28;10.1;
1990-09-29;1.3;
1990-09-30;0;
1990-10-01;1.7;
1990-10-02;.3;
1990-10-03;6.5;
1990-10-04;8.4;
1990-10-05;8.6;
1990-10-06;10.6;
1990-10-07;10.7;
1990-10-08;10.7;
1990-10-09;9;
1990-10-10;10.5;
1990-10-11;6.1;
1990-10-12;8;
1990-10-13;5.7;
1990-10-14;7;
1990-10-15;0;
1990-10-16;0;
1990-10-17;0;
1990-10-18;3;
1990-10-19;.9;
1990-10-20;1.7;
1990-10-21;4.7;
1990-10-22;4.5;
1990-10-23;7.3;
1990-10-24;1.8;
1990-10-25;2.8;
1990-10-26;6.6;
1990-10-27;8.5;
1990-10-28;10.7;
1990-10-29;10.7;
1990-10-30;10.9;
1990-10-31;8.4;
1990-11-01;8.1;
1990-11-02;1.5;
1990-11-03;3;
1990-11-04;10.5;
1990-11-05;0;
1990-11-06;0;
1990-11-07;11.1;
1990-11-08;4.4;
1990-11-09;6.1;
1990-11-10;2.6;
1990-11-11;2.5;
1990-11-12;3.5;
1990-11-13;0;
1990-11-14;11.1;
1990-11-15;8.1;
