Spent Ah/d;Spent Wh/d;Gain Ah/d;Gain Wh/d;Datelog
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;04/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;12/10/2021
-25.0;618.19;-25.0;831.4;05/10/2021
-25.0;441.18;-25.0;312.12;06/10/2021
-25.0;548.3;-25.0;781.12;07/10/2021
-25.0;1048.18;-25.0;456.11;08/10/2021
-25.0;656.25;-25.0;612.12;09/10/2021
-25.0;845.3;-25.0;781.84;10/10/2021
-25.0;444.62;-25.0;432.95;11/10/2021
-25.0;487.93;-25.0;781.53;12/10/2021
